event_name,category,location,source_files,properties,description,phase
subscription_expired,premium,backend,subscription_service.py:430,"expired_at,source",System auto-expires subscription,3
blog_viewed,content,frontend,Blog.tsx:85,"source,post_count,category_filter,tag_filter",User views blog list,4
blog_post_clicked,content,frontend,Blog.tsx:99,"post_slug,post_title,source",User clicks blog post card,4
blog_post_viewed,content,frontend,BlogPost.tsx:108,"post_slug,post_title,reading_time,source",User views blog post detail,4
blog_post_read_completed,content,frontend,BlogPost.tsx:130,"post_slug,estimated_read_percentage,time_on_page_seconds",User scrolls to 80%+ of article,4
public_charts_viewed,content,frontend,PublicCharts.tsx:82,"source,chart_count,category_filter",User views famous charts gallery,4
public_chart_searched,content,frontend,PublicCharts.tsx:96,"query,results_count",User searches famous charts,4
public_chart_clicked,content,frontend,PublicCharts.tsx:107,"chart_slug,person_name,category",User clicks famous chart card,4
public_chart_detail_viewed,content,frontend,PublicChartDetail.tsx:133,"chart_slug,person_name,category,source",User views famous chart detail,4
rag_documents_viewed,content,frontend,RagDocuments.tsx:59,"source,document_count,filter_type",User views RAG documents list,4
rag_document_clicked,content,frontend,RagDocuments.tsx:72,"document_id,document_type,title",User clicks RAG document card,4
error_occurred,error_monitoring,frontend,"ErrorBoundary.tsx:43,main.tsx:14|34","error_type,error_message,page_path,component_name,stack_trace_snippet,source",React error boundary or global handler catches error,5
api_request_failed,error_monitoring,frontend,api.ts:89,"endpoint,method,status_code,error_message,source",API call fails (non-401),5
slow_performance_detected,performance,frontend,usePerformanceMonitoring.ts:61,"page_path,load_time_ms,threshold_ms,resource_type,source",Page load exceeds threshold,5
rate_limit_hit,error_monitoring,frontend,api.ts:106,"endpoint,limit_type,retry_after_seconds,source",User receives 429 response,5
page_viewed,system,frontend,useAmplitudePageView.ts:23,"page_path,page_title,source",User navigates to any page,2
user_logged_out,session,frontend,AuthContext.tsx:60,"session_duration_minutes,source",User explicitly logs out (session tracking handled by Amplitude SDK),2
dashboard_viewed,navigation,frontend,App.tsx:105,source,User views dashboard page,2
feature_card_clicked,navigation,frontend,App.tsx:132,"feature_name,source",User clicks dashboard feature card,2
rag_filter_changed,content,frontend,RagDocuments.tsx:82,"filter_type,previous_filter,source",User changes RAG documents filter,4
interpretation_tab_changed,charts,frontend,ChartDetail.tsx:260,"tab_name,previous_tab,chart_id,source",User changes interpretation tab,2
planet_row_clicked,charts,frontend,PlanetList.tsx:304,"planet_name,sign,house,retrograde,source",User clicks planet table row,2
aspect_row_clicked,charts,frontend,AspectGrid.tsx:176,"planet1,planet2,aspect_type,orb,applying,source",User clicks aspect table row,2
growth_section_expanded,charts,frontend,GrowthSuggestions.tsx:54,"section_name,section_type,source",User expands growth suggestion section,2
